"illumina_humanht_12_v3","ensembl_gene_id","gene_biotype","external_gene_name"
"ILMN_1664165","ENSG00000182264","protein_coding","IZUMO1"
"ILMN_1747355","ENSG00000277768","protein_coding","CCL3L1"
"ILMN_1916158","ENSG00000254333","lncRNA","NDST1-AS1"
"ILMN_1682717","ENSG00000227231","protein_coding","IER3"
"ILMN_1693333","ENSG00000139291","protein_coding","TMEM19"
"ILMN_1655296","ENSG00000152818","protein_coding","UTRN"
"ILMN_1716276","ENSG00000275313","protein_coding","CCL4L2"
"ILMN_1704873","ENSG00000154582","protein_coding","ELOC"
"ILMN_1806733","ENSG00000182871","protein_coding","COL18A1"
"ILMN_1765860","ENSG00000147251","protein_coding","DOCK11"
"ILMN_1729915","ENSG00000085514","protein_coding","PILRA"
"ILMN_1658231","ENSG00000160877","protein_coding","NACC1"
"ILMN_1883239","ENSG00000174206","protein_coding","C12orf66"
"ILMN_1761941","ENSG00000164125","protein_coding","GASK1B"
"ILMN_1701308","ENSG00000108821","protein_coding","COL1A1"
"ILMN_1774708","ENSG00000123353","protein_coding","ORMDL2"
"ILMN_1799134","ENSG00000134539","protein_coding","KLRD1"
"ILMN_1876400","ENSG00000229011","lncRNA","LINC01038"
"ILMN_1676372","ENSG00000090659","protein_coding","CD209"
"ILMN_1758281","ENSG00000064989","protein_coding","CALCRL"
"ILMN_1785252","ENSG00000225697","protein_coding","SLC26A6"
"ILMN_1704797","ENSG00000132514","protein_coding","CLEC10A"
"ILMN_1670708","ENSG00000126218","protein_coding","F10"
"ILMN_1712748","ENSG00000100744","protein_coding","GSKIP"
"ILMN_1661197","ENSG00000175505","protein_coding","CLCF1"
"ILMN_1665540","ENSG00000283050","transcribed_unprocessed_pseudogene","GTF2IP12"
"ILMN_1794598","ENSG00000151967","protein_coding","SCHIP1"
"ILMN_1668162","ENSG00000204195","protein_coding","AWAT1"
"ILMN_1804601","ENSG00000211893","IG_C_gene","IGHG2"
"ILMN_1794598","ENSG00000283154","protein_coding","IQCJ-SCHIP1"
"ILMN_1735461","ENSG00000165732","protein_coding","DDX21"
"ILMN_1727084","ENSG00000178031","protein_coding","ADAMTSL1"
"ILMN_1684919","ENSG00000178031","protein_coding","ADAMTSL1"
"ILMN_1792435","ENSG00000118007","protein_coding","STAG1"
"ILMN_1747355","ENSG00000276085","protein_coding","CCL3L3"
"ILMN_1709177","ENSG00000102313","protein_coding","ITIH6"
"ILMN_1846502","ENSG00000261432","lncRNA","LINC01613"
"ILMN_1746864","ENSG00000115165","protein_coding","CYTIP"
"ILMN_1738578","ENSG00000168386","protein_coding","FILIP1L"
"ILMN_1778595","ENSG00000170290","protein_coding","SLN"
"ILMN_1722811","ENSG00000111276","protein_coding","CDKN1B"
"ILMN_1785646","ENSG00000109099","protein_coding","PMP22"
"ILMN_1716859","ENSG00000262635","protein_coding","TDO2"
"ILMN_1780546","ENSG00000099985","protein_coding","OSM"
"ILMN_1723522","ENSG00000178878","protein_coding","APOLD1"
"ILMN_1849308","ENSG00000248991","lncRNA","AC097375.1"
"ILMN_1679826","ENSG00000077984","protein_coding","CST7"
"ILMN_1665510","ENSG00000116285","protein_coding","ERRFI1"
"ILMN_1739508","ENSG00000241755","IG_V_gene","IGKV1-9"
"ILMN_1754528","ENSG00000205944","protein_coding","DAZ2"
"ILMN_1652199","ENSG00000241351","IG_V_gene","IGKV3-11"
"ILMN_1677732","ENSG00000274166","protein_coding","GOLGA6L10"
"ILMN_1761646","ENSG00000253846","protein_coding","PCDHGA10"
"ILMN_1748437","ENSG00000248418","processed_pseudogene","UBL5P1"
"ILMN_1744487","ENSG00000223953","protein_coding","C1QTNF5"
"ILMN_1744487","ENSG00000235718","protein_coding","MFRP"
"ILMN_1766675","ENSG00000113361","protein_coding","CDH6"
"ILMN_1728374","ENSG00000182111","protein_coding","ZNF716"
"ILMN_1762319","ENSG00000134802","protein_coding","SLC43A3"
"ILMN_1732127","ENSG00000171174","protein_coding","RBKS"
"ILMN_1755415","ENSG00000164483","protein_coding","SAMD3"
"ILMN_1665540","ENSG00000237094","transcribed_unprocessed_pseudogene","AL732372.2"
"ILMN_1760530","ENSG00000196072","protein_coding","BLOC1S2"
"ILMN_1665540","ENSG00000230724","lncRNA","LINC01001"
"ILMN_1742442","ENSG00000101307","protein_coding","SIRPB1"
"ILMN_1724376","ENSG00000068912","protein_coding","ERLEC1"
"ILMN_1653504","ENSG00000170989","protein_coding","S1PR1"
"ILMN_1744235","ENSG00000280387","TEC","AL109806.1"
"ILMN_1744235","ENSG00000124103","protein_coding","FAM209A"
"ILMN_1773388","ENSG00000102445","protein_coding","RUBCNL"
"ILMN_1665168","ENSG00000227298","processed_pseudogene","ARAFP3"
"ILMN_1786444","ENSG00000175445","protein_coding","LPL"
"ILMN_1675106","ENSG00000130733","protein_coding","YIPF2"
"ILMN_1779875","ENSG00000154096","protein_coding","THY1"
"ILMN_1758164","ENSG00000159167","protein_coding","STC1"
